AADT_mean_x,AADT_Single_Unit_mean_x,AADT_Combination_mean_x,Future_AADT_mean_x,IRI_mean_x,Thickness_Rigid_mean_x,Thickness_Flexible_mean_x,Base_Thickness_mean_x,F_System_mode,Urban_Type,Surface_Type_mode,Base_Type_mode_x,Rutting_mean_x,Cracking_Percent_mean_x,Faulting_mean_x,Last_Overlay_Thickness_mean_x,IRI_mean_y,RHU_AV_x,FRZ_IDX_x,TEMP_AVG_x,PRECIPITATION_x,Age_x
40961,820,2295,40924,64,11.5,0,15,1,urban,3,2,0,0,0,0,71.5,76.2,535.4,8.5,1068.6,5
26595,878,186,37230,172.8,0,3,6,3,urban,2,3,0.2,0,0,1.5,198.8,67.1,3.7,19.6,933.1,16
61960,744,2851,62225,102.8,9,0,18,2,urban,3,2,0,23,0.1,0,123,76.2,519.1,8.7,1083.9,6
52563,1052,2997,52581,65.5,11,0,16,1,urban,3,2,0,0,0,0,75,76.4,504.3,8.3,963.7,4
13206,211,1267,13222,55,0,5,24,1,rural,2,2,0.1,0,0,0,68,78.5,769.2,6.5,1021.7,7
16978,238,1443,16999,53.3,0,5,24,1,rural,2,2,0.1,0,0,0,55,78.5,769.2,6.5,1021.7,7
21647,455,5196,21703,58,12,0,18,1,small urban,3,2,0,0,0,0,61,78.6,272.6,9.4,1097.5,8
100449,2008,5725,100481,67,10,0,26,2,urban,3,2,0,0,0,0,70.5,76.3,457,9.1,1050.3,7
11524,300,426,12624,239,0,6,6,5,urban,2,2,0.2,0,0,0,250,78.8,295.2,9,1060.7,1
2582,46,42,2583,178.3,0,3,6,5,urban,2,2,0.1,20,0,0,184,78.8,295.2,9,1060.7,9
41262,743,2104,41380,38.5,0,8,24,3,urban,2,2,0.1,0,0,0,40.8,78.8,295.2,9,1060.7,1
23028,575,1611,23073,60,0,8,24,3,urban,2,2,0.1,0,0,0,64,78.8,295.2,9,1060.7,1
8735,157,96,9204,290,0,5,5,4,urban,2,2,0.2,5,0,2,312,78.8,295.2,9,1060.7,45
34876,872,4883,34941,78.2,11,0,16,1,rural,3,2,0,0,0,0,79.9,76.4,534.7,8.4,995.6,7
34876,872,4883,34941,75.5,11,0,16,1,small urban,3,2,0,0,0,0,84.5,76.4,534.7,8.4,995.6,7
25096,528,4456,25186,62.1,12,0,18,1,rural,3,2,0,0,0,0,65.1,76.8,451.3,9.1,1145.8,8
16364,205,1434,16407,168,10.5,0,16,2,urban,3,2,0,63,0,0,177,76.8,451.3,9.1,1145.8,5
22000,396,1122,22032,61.6,8,0,26,3,rural,3,2,0,0,0,0,71,76.3,457,9.1,1050.3,4
15246,274,792,15514,85,0,6.5,24,3,urban,2,2,0.1,0,0,0,86.5,75.5,571.1,8.2,972.6,2
11063,255,752,10975,78,0,8,24,3,urban,2,2,0.1,0,0,0,104,76.4,490.5,9,1106.4,5
22738,409,1228,22786,67.7,9,0,26,2,urban,3,2,0,0,0,0,71.9,76.4,490.5,9,1106.4,3
14864,373,2705,14886,67.7,10,0,26,1,rural,3,2,0,0,0,0,69.7,76.8,469.4,8.6,963.7,8
8852,177,1824,8852,80,11,0,26,2,urban,3,2,0,0,0,0,84,76.8,469.4,8.6,963.7,3
36338,618,4252,36430,75,11,0,26,1,rural,3,2,0,0,0,0,79,76.8,469.4,8.6,963.7,7
3569,90,247,3570,35.9,0,3.5,24,3,rural,2,2,0.1,0,0,0,41.2,82,591.2,5.7,988.1,8
3886,89,253,3878,38,0,3.5,24,3,rural,2,2,0.1,0,0,0,42.5,82,591.2,5.7,988.1,8
16460,214,230,16519,51,0,6.5,24,3,small urban,2,2,0.2,0,0,0,52,80.2,570.6,6.6,996.9,2
26941,656,2998,27071,67.6,10,0,16,2,rural,3,2,0,0,0,0,71.1,76.9,536.8,8.4,1077.2,5
25962,649,2960,26052,65.8,10,0,16,2,rural,3,2,0,0,0,0,68.8,76.9,536.8,8.4,1077.2,5
5752,122,236,5736,38.8,0,4.5,24,3,rural,2,2,0.1,0,0,0,45.5,78.2,662.7,7,977.8,3
5752,122,236,5736,37.4,0,6.5,24,3,rural,2,2,0.1,0,0,0,44.6,78.2,662.7,7,977.8,3
9411,159,470,9383,96,0,6.5,24,3,small urban,2,2,0.2,0,0,0,98,78.5,786.2,6.4,961.4,6
2587,115,214,2582,37.4,0,3.5,24,3,rural,2,2,0.1,0,0,0,39.4,78.5,786.2,6.4,961.4,6
44738,805,2282,44786,82,9,0,16,2,urban,3,2,0,0,0,0,98,76,433.6,9.5,1045.2,17
64356,1030,7336,64226,36.2,11,0,16,1,urban,3,2,0,0,0,0,47.4,75.9,543.9,8.5,1020,11
